match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,57,Javi Muñoz,584673,MissedShots,OpenPlay,Head,0.13283099234104156,0.9180000305175782,0.5309999847412109,,,8.864293792889907,44.03703929007436,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,6,Isaac Romero,584653,BlockedShot,OpenPlay,RightFoot,0.05531248450279236,0.8640000152587891,0.40900001525878904,,,15.563087270867507,24.552435838781747,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,60,Juanlu Sanchez,584674,Goal,OpenPlay,RightFoot,0.6108065843582153,0.9530000305175781,0.4570000076293945,,,5.736197899234557,61.629343823016164,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,63,Lucas Ocampos,584675,BlockedShot,OpenPlay,RightFoot,0.03580673411488533,0.8230000305175781,0.7130000305175781,,,23.562436673840477,14.095347015751353,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,70,Sandro Ramírez,584676,Goal,OpenPlay,LeftFoot,0.09539808332920074,0.8780000305175781,0.38299999237060545,,,15.07958759912885,23.66193080414326,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,73,Dodi Lukebakio,584677,MissedShots,OpenPlay,LeftFoot,0.2450995147228241,0.9390000152587891,0.3679999923706055,,,11.026903000826893,23.428347746402558,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,74,Isaac Romero,584678,MissedShots,OpenPlay,Head,0.03559649735689163,0.8630000305175781,0.529000015258789,,,14.519535836357532,28.074024596237127,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,74,Lucas Ocampos,584679,MissedShots,OpenPlay,RightFoot,0.026594046503305435,0.76,0.495,,,25.202293546421522,16.52459017646944,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,76,Alberto Moleiro,584680,SavedShot,OpenPlay,RightFoot,0.02058340609073639,0.7130000305175781,0.43599998474121093,,,30.447626260602746,13.573337362395733,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,78,Lucas Ocampos,584681,SavedShot,OpenPlay,RightFoot,0.025526000186800957,0.7559999847412109,0.555,,,25.891544606209568,15.93175615364221,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,89,Djibril Sow,584682,SavedShot,OpenPlay,RightFoot,0.4329882562160492,0.905,0.56,,,10.777152917166944,35.39828199674033,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,9,Nianzou Kouassi,584654,MissedShots,FromCorner,Head,0.10579171031713486,0.924000015258789,0.545,,,8.546576766713319,44.40077689430537,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,92,Djibril Sow,584683,SavedShot,OpenPlay,RightFoot,0.07617093622684479,0.9019999694824219,0.415,,,11.80222716038989,30.891636933254688,0
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,a,96,Nianzou Kouassi,584684,MissedShots,SetPiece,Head,0.06833459436893463,0.9209999847412109,0.48400001525878905,,,8.366050043015449,47.01341541016157,1
26985,2024-08-16 19:30:00,Las Palmas,Sevilla,,h,97,Sandro Ramírez,584685,BlockedShot,OpenPlay,LeftFoot,0.013722354546189308,0.6719999694824219,0.3609999847412109,,,35.71350086914036,11.296360885040135,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,12,Rubén García,584979,MissedShots,OpenPlay,Head,0.05919712036848068,0.8809999847412109,0.5320000076293945,,,12.68306127463378,31.808862926207183,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,14,Seydouba Cissé,584980,BlockedShot,FromCorner,RightFoot,0.020403550937771797,0.7809999847412109,0.36400001525878906,,,24.784987058550726,15.648560751337921,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,15,Miguel De la Fuente,584981,SavedShot,FromCorner,Head,0.285595178604126,0.95,0.5779999923706055,,,7.462902283735355,42.2559454347596,1
